13:39:06 web.1  | started with pid 4375
13:39:07 web.1  | Example app listening at http://0.0.0.0:5000
13:39:10 web.1  | Connected correctly to server
13:39:10 web.1  | vicroads-segment-speed
13:39:12 web.1  | 3288
13:39:12 web.1  | 1,-37.80356349,144.9433941
13:39:12 web.1  | 16,-38.11071327,145.1257284
13:39:12 web.1  | 44,-37.7844648,144.8728846
13:39:12 web.1  | 2,-37.80356349,144.9433941
13:39:12 web.1  | 19,-37.66082171,144.9540032
13:39:12 web.1  | 45,-37.7844648,144.8728846
13:39:12 web.1  | 66,-38.11071327,145.1257284
13:39:12 web.1  | 15,-37.81708297,145.1166644
13:39:12 web.1  | 43,-37.88675191,145.1645233
13:39:12 web.1  | 58,-37.78832408,144.8640542
13:39:12 web.1  | 7,-37.80949701,144.9352583
13:39:12 web.1  | 22,-37.87172026,145.2851519
13:39:12 web.1  | 8,-37.80948797,144.9351902
13:39:12 web.1  | 42,-37.88675191,145.1645233
13:39:12 web.1  | 65,-37.74395077,145.1365014
13:39:12 web.1  | 71,-37.9265,145.17838
13:39:12 web.1  | 50,-37.81708297,145.1166644
13:39:12 web.1  | 57,-37.78832408,144.8640542
13:39:12 web.1  | 73,-37.80591289,144.9919735
13:39:12 web.1  | 81,-37.71614364,144.918744
13:39:12 web.1  | 85,-37.84198297,144.9857845
13:39:12 web.1  | 69,-37.70376199,145.0952904
13:39:12 web.1  | 70,-37.70376199,145.0952904
13:39:12 web.1  | 86,-37.84198297,144.9857845
13:39:12 web.1  | 87,-37.84362156,145.1710736
13:39:12 web.1  | 92,-37.87332246,145.1294633
13:39:12 web.1  | 82,-37.71614364,144.918744
13:39:12 web.1  | 83,-37.9476,145.20496
13:39:12 web.1  | 99,-37.74395077,145.1365014
13:39:12 web.1  | 126,-38.00208265,145.0783047
13:39:12 web.1  | 131,-37.93325252,144.9943351
13:39:12 web.1  | 88,-37.84362156,145.1710736
13:39:12 web.1  | 91,-37.87332246,145.1294633
13:39:12 web.1  | 132,-37.87349448,144.9766254
13:39:12 web.1  | 133,-37.87349448,144.9766254
13:39:12 web.1  | 160,-37.91715225,144.9924962
13:39:12 web.1  | 127,-38.00208265,145.0783047
13:39:12 web.1  | 130,-37.93325252,144.9943351
13:39:12 web.1  | 161,-37.91715225,144.9924962
13:39:12 web.1  | 162,-37.98613357,145.1052948
13:39:12 web.1  | 187,-37.62229156,144.8839223
13:39:12 web.1  | 141,-37.83539156,145.1780928
13:39:12 web.1  | 142,-37.83539156,145.1780928
13:39:12 web.1  | 188,-37.67935,144.86413
13:39:12 web.1  | 189,-37.63728161,144.8997137
13:39:12 web.1  | 205,-37.41914729,144.9932663
13:39:12 web.1  | 163,-37.98613357,145.1052948
13:39:12 web.1  | 186,-37.62229156,144.8839223
13:39:12 web.1  | 193,-37.66388,144.85335
13:39:12 web.1  | 200,-37.66082171,144.9540032
13:39:12 web.1  | 206,-37.41914729,144.9932663
13:39:12 web.1  | 208,-37.65575,144.84178
13:39:12 web.1  | 217,-38.09723193,145.1745664
13:39:12 web.1  | 239,-37.82797,144.93008
13:39:12 web.1  | 218,-38.09723193,145.1745664
13:39:12 web.1  | 241,-37.82902,144.92485
